x_PathwayId,PathwayName,RawAccumulator,ImpactFactor,ProbabilityPi,CorrectedAccumulator,pValue,AdjustedPValue
path:hsa01100,"Metabolic pathways - Enriched",-81.2687833518254,19.8396141243883,2.46401308392456e-08,-73.3831069427453,1.47615253354161e-12,3.3951508271457e-10
path:hsa04612,"Antigen processing and presentation - Enriched",-18.017113654527,16.1921861599693,5.01654527742838e-07,-17.9489182398957,2.32173169578687e-11,2.6699914501549e-09
path:hsa04514,"Cell adhesion molecules (CAMs) - Enriched",-17.4415971699956,8.70925297146102,0.000800456510965607,-17.1946611101179,4.27935639146781e-08,3.28083990012532e-06
path:hsa00051,"Fructose and mannose metabolism - Enriched",-18.7696472155232,8.44329569789873,0.00326907514586862,-18.4259237130452,2.25031171696699e-07,1.29392923725602e-05
path:hsa01200,"Carbon metabolism - Enriched",-34.7970558882819,8.06618103461368,0.0071017425988845,-34.0119100378339,5.94779158258341e-07,2.73598412798837e-05
path:hsa00520,"Amino sugar and nucleotide sugar metabolism - Enriched",-14.6236216397572,8.48488188797605,0.00259863200196274,-14.1387579701373,2.30409380864716e-05,0.000662426969986057
path:hsa00480,"Glutathione metabolism - Enriched",-11.3547545755875,7.82980796394045,0.00259863200196274,-10.9381086446043,2.30409380864716e-05,0.000662426969986057
path:hsa00010,"Glycolysis / Gluconeogenesis - Enriched",-20.4989544478661,5.30311828061037,0.108214469363632,-19.8794385647014,3.20034347893738e-05,0.00066916272741418
path:hsa00524,"Butirosin and neomycin biosynthesis - Enriched",-7.05206261285255,4.24603812566455,0.101979555428178,-7.03005171599572,2.88818930113122e-05,0.00066916272741418
path:hsa00300,"Lysine biosynthesis - Enriched",6.2481339809198,7.42590734504529,0.00876640602118064,6.25720199228876,3.08162230803211e-05,0.00066916272741418
path:hsa00052,"Galactose metabolism - Enriched",-13.7240582439738,4.05504658668737,0.127492344789967,-13.3409740575086,4.27551651853708e-05,0.000756437537895022
path:hsa01040,"Biosynthesis of unsaturated fatty acids - Enriched",2.42741609378271,12.8338485802599,1.03960574077568e-05,2.61602785568208,4.1337037521183e-05,0.000756437537895022
path:hsa00310,"Lysine degradation - Enriched",14.3781639379331,6.93883653986553,0.00774894174123004,14.6788787987352,4.87354903250248e-05,0.000800654483911121
path:hsa04115,"p53 signaling pathway - Enriched",-10.9154391241581,3.80717922212146,0.221431753341907,-10.7918826184205,0.000123138866072625,0.00188812927978025
path:hsa00240,"Pyrimidine metabolism - Enriched",-14.3019472592264,5.56888451210811,0.0387865405135093,-13.8754782684808,0.000175209359169926,0.00239538847282267
path:hsa00250,"Alanine, aspartate and glutamate metabolism - Enriched",-11.4883528322126,6.13340244703918,0.0249184011765618,-11.1504981620064,0.000177050452339067,0.00239538847282267
path:hsa00030,"Pentose phosphate pathway - Enriched",-15.357547229565,6.05197708116504,0.064518615053578,-15.0309659695428,0.00033671090075571,0.00430241706521185
path:hsa00230,"Purine metabolism - Enriched",-19.8163672443056,6.3017894977632,0.0166358917916108,-18.7505097675673,0.000400567069630764,0.00484896979026714
path:hsa00380,"Tryptophan metabolism - Enriched",10.6073091213312,5.99308747723621,0.0258294176079555,10.8021905329468,0.000574147256764856,0.00660269345279585
path:hsa01230,"Biosynthesis of amino acids - Enriched",-15.0302573796228,6.1332293250653,0.0387865405135093,-14.2589081971738,0.000802273675859722,0.00878680692608266
path:hsa04610,"Complement and coagulation cascades - Enriched",-10.1812328284376,4.79485983664145,0.0559705017833106,-10.0048374806147,0.00135263658299478,0.0141412006404
path:hsa04110,"Cell cycle - Enriched",-7.31341310005356,5.65319092527755,0.0205920674385482,-7.28687675414688,0.00144923542669995,0.0144923542669995
path:hsa00020,"Citrate cycle (TCA cycle) - Enriched",-11.0634041746022,5.23165323041387,0.0841156386537206,-10.7292100706563,0.00197954149739665,0.0189706060167179
path:hsa04742,"Taste transduction - Enriched",-8.90868608577128,5.99746851690518,0.0160494587557922,-8.43641218557803,0.00221686183834446,0.0203951289127691
path:hsa00500,"Starch and sucrose metabolism - Enriched",-15.1457726397798,3.72112541909559,0.242408089411539,-14.7835557437432,0.00239503854988454,0.0211868794797479
path:hsa00590,"Arachidonic acid metabolism - Enriched",9.5630781509909,4.26975098667708,0.10021996354586,9.92573036687911,0.002711890235089,0.0227721874685952
path:hsa04962,"Vasopressin-regulated water reabsorption - Enriched",-3.24124666433445,7.24550480651221,0.0030059628950042,-2.95092672456763,0.00277226630052463,0.0227721874685952
path:hsa04210,"Apoptosis - Enriched",-8.08046583867536,8.7543150995351,0.00151689613924959,-7.11973954350531,0.00301381990613736,0.0239027096003998
path:hsa00565,"Ether lipid metabolism - Enriched",7.76018299818098,4.85944146840171,0.0931343548628552,8.03697784332702,0.00335341746791418,0.0257095339206754
path:hsa00040,"Pentose and glucuronate interconversions - Enriched",-5.66717477909906,4.61162680732072,0.064518615053578,-5.42244718534161,0.00366990479799623,0.0272283259206172
path:hsa00760,"Nicotinate and nicotinamide metabolism - Enriched",-6.65034923689759,6.14455194256789,0.0678044113432878,-6.34473150801408,0.00531692072250456,0.0382153676930015
path:hsa04915,"Estrogen signaling pathway - Enriched",-4.40906668572787,9.26864221053664,0.000560573660356146,-2.60269588786487,0.0056798657945849,0.0395869434168039
path:hsa00620,"Pyruvate metabolism - Enriched",-5.2463355811922,5.98916836647041,0.018962054920336,-4.84796589910579,0.00641747047594921,0.0434123002784799
path:hsa04750,"Inflammatory mediator regulation of TRP channels - Enriched",5.67704471661189,6.90850595311126,0.00570838301746551,7.05002178836612,0.00806706791709932,0.0522288907332617
path:hsa00410,"beta-Alanine metabolism - Enriched",-1.3392976563035,8.22894758571452,0.00165618580174125,-1.12924020049486,0.00817495681042357,0.0522288907332617
path:hsa00980,"Metabolism of xenobiotics by cytochrome P450 - Enriched",-7.94339928474944,3.64993235766027,0.268249419018501,-7.704352045803,0.00953528510827373,0.0592733939162961
path:hsa00532,"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Enriched",-1.13243006060118,6.35623567254722,0.0101402751517635,-1.13243006060118,0.0114402339451547,0.069243521246989
path:hsa00591,"Linoleic acid metabolism - Enriched",5.59567311230086,3.17963100138113,0.340320933566678,5.80287076538429,0.0162519497928384,0.095844832111611
path:hsa04914,"Progesterone-mediated oocyte maturation - Enriched",-7.53358510418982,5.81755029739051,0.031198649200568,-6.62310731998136,0.0170285127684944,0.0966168569364543
path:hsa04370,"VEGF signaling pathway - Enriched",4.0451383194501,6.60908438652806,0.0118605646138547,5.18028882931225,0.0180631515142067,0.0966168569364543
path:hsa04725,"Cholinergic synapse - Enriched",-4.99534601629952,7.20384175958002,0.00507617755716976,-3.45306311513514,0.0173603899680885,0.0966168569364543
path:hsa00770,"Pantothenate and CoA biosynthesis - Enriched",-1.81881198098544,6.74458889273128,0.00832436568640137,-1.62238317469409,0.0177151690820982,0.0966168569364543
path:hsa04510,"Focal adhesion - Enriched",15.2748204657887,4.44125506415974,0.084244579544298,16.4409945658245,0.0218235072267696,0.111542370270156
path:hsa00330,"Arginine and proline metabolism - Enriched",-4.27902297919299,5.14442168842943,0.0334936543759779,-3.900224089838,0.0213398311594315,0.111542370270156
path:hsa04330,"Notch signaling pathway - Enriched",-10.1878636654989,4.09187039002701,0.3190273167908,-10.1424190055923,0.0239786565350513,0.11410610850042
path:hsa00100,"Steroid biosynthesis - Enriched",-6.63765482049266,5.41013500066536,0.127432416583181,-6.41835826453076,0.0266660565248018,0.11410610850042
path:hsa04010,"MAPK signaling pathway - Enriched",4.75325296794247,5.89425851149243,0.017804428860585,6.05154645319835,0.0271906473870852,0.11410610850042
path:hsa04151,"PI3K-Akt signaling pathway - Enriched",4.45939892961795,5.57673787763791,0.0181486547434827,5.89767873754724,0.0277419320735908,0.11410610850042
path:hsa04144,"Endocytosis - Enriched",5.49936839648958,3.57349626174848,0.156804535390296,5.88134312257185,0.0262812483311025,0.11410610850042
path:hsa04925,"Aldosterone synthesis and secretion - Enriched",-4.02388859727374,5.90672169313128,0.0154079344242663,-3.34937630604372,0.0277823568522761,0.11410610850042
path:hsa04918,"Thyroid hormone synthesis - Enriched",-3.88743424109784,5.76541460890138,0.0164059249169187,-3.21632627636515,0.0231842135293625,0.11410610850042
path:hsa00471,"D-Glutamine and D-glutamate metabolism - Enriched",-2.41220075721368,0,1,-2.31407387684325,0.024487756121939,0.11410610850042
path:hsa04530,"Tight junction - Enriched",1.54234994537945,5.92312565098406,0.0112138899404296,1.89683106065362,0.0266433642617676,0.11410610850042
path:hsa04213,"Longevity regulating pathway - multiple species - Enriched",-1.57913565011612,6.98033050303821,0.00576319218697257,-1.07551684680644,0.025511323848503,0.11410610850042
path:hsa00340,"Histidine metabolism - Enriched",-1.0387179832419,6.24594402727821,0.0103486013438905,-0.835341430372356,0.0254027164834272,0.11410610850042
path:hsa00220,"Arginine biosynthesis - Enriched",-7.29463122292801,4.47261210971559,0.47029790546528,-7.04557777157779,0.0287286119345153,0.114289855979948
path:hsa04978,"Mineral absorption - Enriched",1.19668269729424,5.72142918074133,0.01297772817758,1.36758827239582,0.0293178326209431,0.114289855979948
path:hsa00053,"Ascorbate and aldarate metabolism - Enriched",-0.843509854116146,5.60312265643966,0.0167287494919563,-0.734878715672271,0.0293004507570875,0.114289855979948
path:hsa04919,"Thyroid hormone signaling pathway - Enriched",-3.57925327999281,6.51736818881959,0.00928169249299741,-2.49447008320319,0.0304923689772922,0.116887414412954
path:hsa04068,"FoxO signaling pathway - Enriched",-4.24732623295013,6.04626356833191,0.0171575737544128,-3.02260927867386,0.0370839158475657,0.139824600736723
path:hsa04977,"Vitamin digestion and absorption - Enriched",-1.15860978723885,1.75666141324171,0.325254545276891,-1.15469246309676,0.0393379268280156,0.145931018878122
path:hsa04390,"Hippo signaling pathway - Enriched",-7.16347917077449,3.47288817505928,0.164150683840575,-6.87122639919223,0.0575251320152914,0.197924738779212
path:hsa04973,"Carbohydrate digestion and absorption - Enriched",-5.35491278838415,4.65269738910793,0.208998928894935,-4.8474768407293,0.0583478718958379,0.197924738779212
path:hsa04512,"ECM-receptor interaction - Enriched",3.83039356795847,3.03874306789328,0.191822312637784,3.8707987472574,0.0604051111956653,0.197924738779212
path:hsa04668,"TNF signaling pathway - Enriched",-4.18701296645026,5.81381678447073,0.0416837151150829,-3.41273815097961,0.0559892716197475,0.197924738779212
path:hsa00630,"Glyoxylate and dicarboxylate metabolism - Enriched",-3.3522527772561,5.46612175794377,0.103969272822587,-3.03113940287957,0.0582582982342186,0.197924738779212
path:hsa04911,"Insulin secretion - Enriched",-3.22526271312663,5.37140607796841,0.0299316925907091,-2.53485116519271,0.0554779396225908,0.197924738779212
path:hsa04540,"Gap junction - Enriched",-2.80771773901431,5.55773303911381,0.0235170925075028,-1.59913417426085,0.0595792624723652,0.197924738779212
path:hsa04964,"Proximal tubule bicarbonate reclamation - Enriched",-1.53093181351623,0,1,-1.48503926706787,0.0604697651174413,0.197924738779212
path:hsa04211,"Longevity regulating pathway - mammal - Enriched",-2.05740540891652,5.88734610489624,0.023377415297401,-1.2439261013078,0.0610985063188003,0.197924738779212
path:hsa00512,"Mucin type O-Glycan biosynthesis - Enriched",0.827761119470655,4.70411101365681,0.0409109520496666,0.848735545277288,0.0643048522325722,0.205418277965161
path:hsa04810,"Regulation of actin cytoskeleton - Enriched",10.8776388256177,4.14600531444871,0.163881484841024,12.2390782788828,0.0660810688142747,0.206046690691173
path:hsa00592,"alpha-Linolenic acid metabolism - Enriched",3.44134370079198,3.02160046377362,0.482099716254969,3.67335816817495,0.0679172252088167,0.206046690691173
path:hsa04916,"Melanogenesis - Enriched",-2.71098721086912,5.1852785344923,0.0337038904678961,-2.0461724366536,0.0680849934457789,0.206046690691173
path:hsa04726,"Serotonergic synapse - Enriched",-2.03762371774707,5.78776092947349,0.023377415297401,-1.0151490845955,0.0667153448186795,0.206046690691173
path:hsa04664,"Fc epsilon RI signaling pathway - Enriched",3.51439945388321,4.51104678768546,0.0746998484325969,4.39981189261971,0.0700133579301045,0.208953866785602
path:hsa00534,"Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Enriched",-3.96044040148035,5.18892225987887,0.388471519547351,-3.96044040148035,0.0710234657464081,0.208953866785602
path:hsa00600,"Sphingolipid metabolism - Enriched",-2.9003060251437,4.22909503199874,0.0841156386537206,-2.46060804546066,0.0717711107654895,0.208953866785602
path:hsa04710,"Circadian rhythm - Enriched",-2.18677330550975,3.05748407305146,0.243183494510705,-2.21661633506242,0.0733248127467021,0.210808836646769
path:hsa04350,"TGF-beta signaling pathway - Enriched",-6.93866815983863,3.27120512872287,0.440006683569952,-6.70593267997401,0.0753849814247222,0.211275946752339
path:hsa04141,"Protein processing in endoplasmic reticulum - Enriched",-5.63547755573679,3.74317675489061,0.258567812836438,-5.35733269950558,0.0762430590454093,0.211275946752339
path:hsa04550,"Signaling pathways regulating pluripotency of stem cells - Enriched",-4.03037172923175,4.6992070971318,0.0562368992760099,-3.04040332675263,0.0749968119691145,0.211275946752339
path:hsa03013,"RNA transport - Enriched",0.496235645356845,4.00406550071235,0.0538673870881665,0.492135760242635,0.0784048849401375,0.214680042097996
path:hsa04970,"Salivary secretion - Enriched",-3.60344262028177,4.4157108178671,0.0684568068040304,-2.89143526158591,0.0796119295094434,0.2154205151432
path:hsa00061,"Fatty acid biosynthesis - Enriched",-4.34195525413232,4.509874270196,0.482099716254969,-4.22866871096029,0.0816028922842482,0.218240293318338
path:hsa00790,"Folate biosynthesis - Enriched",1.59753665998572,4.88344680952767,0.137106181828705,1.67624050159657,0.0839950199532249,0.222055799876342
path:hsa01212,"Fatty acid metabolism - Enriched",-9.64590484052781,3.98429403106194,0.562920978489349,-9.19373699031573,0.0924079234569106,0.227386478375728
