# Pathway Id	Pathway Name	Raw Accumulator	Impact Factor	Probability Pi	Corrected Accumulator	pValue	Adjusted pValue
path:hsa01100	Metabolic pathways - Enriched	-81.26878335182536	19.839614124388252	2.4640130839245614E-8	-73.3831069427453	1.4761525335416081E-12	3.3951508271456987E-10
path:hsa04612	Antigen processing and presentation - Enriched	-18.017113654527048	16.192186159969296	5.01654527742838E-7	-17.948918239895658	2.321731695786866E-11	2.669991450154896E-9
path:hsa04514	Cell adhesion molecules (CAMs) - Enriched	-17.441597169995582	8.709252971461021	8.004565109656071E-4	-17.19466111011786	4.2793563914678145E-8	3.2808399001253243E-6
path:hsa00051	Fructose and mannose metabolism - Enriched	-18.769647215523204	8.443295697898733	0.003269075145868616	-18.425923713045222	2.2503117169669906E-7	1.2939292372560196E-5
path:hsa01200	Carbon metabolism - Enriched	-34.797055888281946	8.066181034613678	0.007101742598884502	-34.01191003783395	5.947791582583406E-7	2.7359841279883668E-5
path:hsa00520	Amino sugar and nucleotide sugar metabolism - Enriched	-14.623621639757214	8.484881887976051	0.002598632001962739	-14.13875797013732	2.3040938086471563E-5	6.624269699860574E-4
path:hsa00480	Glutathione metabolism - Enriched	-11.354754575587496	7.829807963940445	0.002598632001962739	-10.938108644604343	2.3040938086471563E-5	6.624269699860574E-4
path:hsa00010	Glycolysis / Gluconeogenesis - Enriched	-20.49895444786612	5.303118280610372	0.10821446936363201	-19.879438564701356	3.200343478937384E-5	6.691627274141803E-4
path:hsa00524	Butirosin and neomycin biosynthesis - Enriched	-7.05206261285255	4.246038125664549	0.10197955542817808	-7.030051715995717	2.8881893011312165E-5	6.691627274141803E-4
path:hsa00300	Lysine biosynthesis - Enriched	6.248133980919802	7.425907345045287	0.00876640602118064	6.257201992288758	3.081622308032106E-5	6.691627274141803E-4
path:hsa00052	Galactose metabolism - Enriched	-13.724058243973783	4.055046586687372	0.1274923447899669	-13.340974057508646	4.2755165185370814E-5	7.564375378950221E-4
path:hsa01040	Biosynthesis of unsaturated fatty acids - Enriched	2.427416093782713	12.83384858025987	1.0396057407756756E-5	2.616027855682084	4.1337037521183007E-5	7.564375378950221E-4
path:hsa00310	Lysine degradation - Enriched	14.378163937933056	6.938836539865533	0.007748941741230038	14.678878798735228	4.873549032502478E-5	8.006544839111214E-4
path:hsa04115	p53 signaling pathway - Enriched	-10.915439124158068	3.807179222121463	0.221431753341907	-10.791882618420535	1.2313886607262514E-4	0.0018881292797802522
path:hsa00240	Pyrimidine metabolism - Enriched	-14.301947259226381	5.568884512108107	0.03878654051350925	-13.875478268480771	1.7520935916992553E-4	0.0023953884728226717
path:hsa00250	Alanine, aspartate and glutamate metabolism - Enriched	-11.48835283221256	6.133402447039179	0.02491840117656183	-11.150498162006402	1.7705045233906702E-4	0.0023953884728226717
path:hsa00030	Pentose phosphate pathway - Enriched	-15.35754722956501	6.0519770811650435	0.06451861505357798	-15.030965969542846	3.367109007557101E-4	0.004302417065211851
path:hsa00230	Purine metabolism - Enriched	-19.8163672443056	6.3017894977632	0.01663589179161083	-18.75050976756734	4.0056706963076394E-4	0.004848969790267142
path:hsa00380	Tryptophan metabolism - Enriched	10.607309121331221	5.993087477236211	0.025829417607955527	10.802190532946796	5.741472567648565E-4	0.006602693452795849
path:hsa01230	Biosynthesis of amino acids - Enriched	-15.030257379622812	6.133229325065301	0.03878654051350925	-14.258908197173753	8.022736758597215E-4	0.008786806926082665
path:hsa04610	Complement and coagulation cascades - Enriched	-10.181232828437565	4.794859836641454	0.05597050178331061	-10.004837480614695	0.0013526365829947817	0.014141200640399991
